FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$20 a $25 dolares
10/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$10 a $15 dolares
11/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Cordova;$20 a $25 dolares
5/6/2023;1.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Cordova;$15 a $20 dolares
6/6/2023;1.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN;Cordova;$20 a $25 dolares
7/6/2023;1.2;PERAS, BANANA;Cordova;$5 a $10 dolares
8/6/2023;1.2;MANZANAS, BANANA, SANDIA, PINA, MELoN;Cordova;$15 a $20 dolares
9/6/2023;1.2;MANZANAS, MELoN;Cordova;$5 a $10 dolares
10/6/2023;1.2;SANDIA;Cordova;$5 a $10 dolares
11/6/2023;1.2;PERAS, BANANA, PINA;Cordova;$10 a $15 dolares
5/6/2023;2.1;SANDIA, PINA, MELoN;Calle ColoN;$30 a $35 dolares
6/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, UVAS;Calle ColoN;$25 a $30 dolares
7/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Calle ColoN;$30 a $35 dolares
8/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Calle ColoN;$30 a $35 dolares
9/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Calle ColoN;$20 a $25 dolares
10/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, PINA, UVAS;Calle ColoN;$35 a $40 dolares
11/6/2023;2.1;BANANA;Calle ColoN;$20 a $25 dolares
5/6/2023;3.3;PERAS, MANZANAS, BANANA, PINA, MELoN;Av. America;$5 a $10 dolares
6/6/2023;3.3;PERAS, MANZANAS, BANANA, SANDIA, UVAS;Av. America;$10 a $15 dolares
7/6/2023;3.3;SANDIA, PINA;Av. America;$5 a $10 dolares
8/6/2023;3.3;FRESAS, BANANA, SANDIA, PINA, MELoN;Av. America;$5 a $10 dolares
9/6/2023;3.3;FRESAS, BANANA, SANDIA;Av. America;$5 a $10 dolares
10/6/2023;3.3;MANZANAS, FRESAS, BANANA, SANDIA;Av. America;$15 a $20 dolares
11/6/2023;3.3;PERAS, MANZANAS, SANDIA;Av. America;$10 a $15 dolares
5/6/2023;4.2;PINA;Cordova;$5 a $10 dolares
6/6/2023;4.2;SANDIA, PINA, MELoN;Cordova;$10 a $15 dolares
7/6/2023;4.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Cordova;$15 a $20 dolares
8/6/2023;4.2;MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN;Cordova;$10 a $15 dolares
9/6/2023;4.2;MANZANAS, BANANA, SANDIA, PINA;Cordova;$15 a $20 dolares
10/6/2023;4.2;MANZANAS, FRESAS, BANANA, MELoN;Cordova;$10 a $15 dolares
11/6/2023;4.2;MANZANAS, SANDIA;Cordova;$5 a $10 dolares
5/6/2023;5.2;PERAS, SANDIA, PINA, MELoN, UVAS;Cesar Chavez CaNarte;$15 a $20 dolares
6/6/2023;5.2;FRESAS, BANANA, PINA, MELoN, UVAS;Cesar Chavez CaNarte;$15 a $20 dolares
7/6/2023;5.2;PERAS, FRESAS, PINA, MELoN;Cesar Chavez CaNarte;$10 a $15 dolares
8/6/2023;5.2;PERAS, FRESAS, SANDIA, MELoN;Cesar Chavez CaNarte;$10 a $15 dolares
