Country Name;PIB per cápita-2015;PIB per cápita -2020;PIB per cápita-2022;Crecimiento de la población -2015;Crecimiento de la población -2020;Crecimiento de la población-2022;Desempleo-2015;Desempleo-2020;Desempleo-2022;Inflación, precios al consumidor (% anual)-2015;Inflación, precios al consumidor-2020;Inflación, precios al consumidor-2022
México;154574,493;185957,8827;223238,5864;1,16700885;0,727243816;0,628607803;4,31;4,45;3,308;2,72064065;3,396834156;7,896276192
Estados Federados de Micronesia ;2891,322103;3639,412699;3741,057769;0,400941559;0,650605244;0,908957181;;;;-0,298115837;0,554594631;5,408743755
Mónaco;153525,5713;159812,5779;;1,78404622;-0,302883027;-0,593262624;;;;;;
Mongolia;7722333,625;11368994,15;15556702,93;2,110866279;1,897015028;1,499669086;4,86;6,59;8,247;5,735682819;3,796040261;15,14795609
Montenegro;5873,919689;6736,701078;9407,897961;0,056110724;-0,116139361;-0,494103987;17,55;17,88;15,402;1,548691582;-0,2556557;13,04030363
Mozambique;23758,66238;31541,44214;34572,31628;3,043019717;2,904819659;2,744193061;3,43;3,776;3,906;3,550759674;3,483935675;10,27940181
Myanmar;1339989,59;2110955,555;2038242,321;0,802515043;0,719472826;0,706117427;0,77;1,48;;9,454171895;;
Namibia;63967,40427;70002,49814;80328,97903;1,754600381;1,720310624;1,446359184;20,895;21,236;20,846;3,394015384;2,209382369;6,081281141
Nepal;87780,15046;132500,3603;161508,5902;0,53827062;1,774268056;1,692246601;10,512;13,078;11,119;7,868908956;5,052366553;
Nicaragua;55204,03112;64446,67953;80912,10168;1,437940024;1,370695685;1,418278462;4,7;5,937;5,565;3,997379967;3,681813416;10,46742445
Níger;284438,6293;325103,6367;332481,8623;3,828859384;3,727100725;3,712987818;0,532;0,68;0,534;-0,57609037;2,89819376;4,226217919
Nigeria;517282,1523;740432,2004;925981,0767;2,541187462;2,440608885;2,380007155;4,221;5,999;5,761;9,00943498;13,24602343;18,84718778
Noruega;603280,0326;643478,2205;1020532,049;0,995084737;0,588757324;0,898395221;4,3;4,42;3,171;2,171136654;1,286584907;5,764123179
Nueva Zelandia;55395,49616;64397,27319;76097,93505;2,036033909;2,204788696;0,248156055;5,41;4,6;3,253;0,292704628;1,7145617;7,17222476
Omán;7219,923011;6424,081046;9634,337624;4,451607888;-1,298245131;1,227418238;3,384;2,94;2,327;0,065290133;-0,903874872;2,811840975
Países Bajos;40732,65268;45668,66382;53165,06892;0,443220089;0,55554079;0,965187158;6,87;3,82;3,538;0,600248147;1,272460378;10,00120788
Pakistán;130080,6456;209247,7594;283896,7293;1,296551724;1,73302782;1,893245598;3,57;6,55;6,416;2,529328173;9,739993139;19,87385996
Palau;15761,36338;14016,2475;;-0,011239112;0,312082286;0,17184516;;;;0,949040644;0,218181818;12,35266384
Panamá;13669,55944;13293,33321;17357,62863;1,741235434;1,451052137;1,308580191;4,368;14,114;8,789;0,13639971;-1,550275408;2,857482822
Papua Nueva Guinea;6926,77015;8463,389417;10629,13829;2,543200663;2,147632274;1,923028218;2,449;2,694;2,753;5,995957781;4,871673986;
Paraguay;30508069,34;36248041,16;42965264,16;1,422003571;1,34872957;1,141244982;4,56;7,55;6,886;3,129002745;1,767515924;9,765566672
Perú;19680,21282;21192,01834;27328,84756;1,172230664;1,451402401;0,986112054;3,27;7,18;3,661;3,398091947;2,002412058;8,333706301
Polonia;47345,11383;61681,51356;81671,84256;-0,066641101;-0,175062058;-0,492706204;7,5;3,16;2,602;-0,874125874;3,374469726;14,42945076
Portugal;17350,05217;19473,3691;23051,65754;-0,414141102;0,105114125;0,520283239;12,45;6,8;5,781;0,487938624;-0,01243833;7,832691242
Qatar;243825,0731;190429,0027;320488,6063;8,651162054;-1,682985039;0,255862792;0,17;0,14;0,095;1,814077239;-2,54031503;4,995275537
Reino Unido;29501,06793;31448,34813;37198,52938;0,792367506;0,365758264;-0,081925285;5,3;4,472;3,571;0,368046842;0,989486704;7,922048831
República Árabe Siria;249081,8362;831400,41;;-4,415743721;3,300177355;3,68690356;8,721;10,011;9,61;;;
República Centroafricana;208035,4273;250650,0046;266381,6304;0,428340362;2,534093932;2,210795117;5,737;6,38;6,363;1,402970171;1,710156595;5,583167352
República Checa;438588,2916;533670,4787;645549,4846;0,196588748;0,243222682;0,19305017;5,05;2,55;2,37;0,309364548;3,161295285;15,10016515
República de Moldova;51742,36373;75796,51998;105133,3975;-0,76704956;-1,098031659;-0,872640471;4,7;3,82;2,278;9,676240331;3,765971222;28,73729768
República Democrática Popular Lao;17274902,29;23458945,6;29310847,17;1,423956165;1,47745666;1,396495684;2,521;3,576;2,633;1,277354271;5,10407263;22,95622251
República Dominicana;308063,3183;405163,0465;557544,1998;1,196044004;1,076552247;0,992978305;7,61;6,13;7,121;0,836746347;3,781031799;8,811092093
República Eslovaca;14773,04348;17117,5694;20187,21013;0,095033879;0,085769476;-0,28486096;11,48;6,69;6,094;-0,325219777;1,936941267;12,77414636
Rumania;35958,69036;55373,30167;74509,8004;-0,470052228;-0,550759893;-0,857299397;6,81;5,03;5,436;-0,594156437;2,631073112;13,79548874
Rwanda;528249,3909;729927,9451;995614,8418;2,385955685;2,39670705;2,311603239;11,828;13,01;13,009;2,528502842;9,850399023;17,68920956
Saint Kitts y Nevis;54069,8891;50128,24818;54477,21846;0,00209251;-0,146821345;0,107072011;;;;-2,30187563;-1,167245018;2,667388427
Samoa;9814,002486;10906,53425;9752,60138;0,895083543;1,416968;1,640310066;8,763;9,793;10,313;0,724470135;-1,568912477;10,96188223
San Marino;38108,44526;39768,48315;;0,540630657;-0,501577645;-0,252206943;;;;0,145686073;;
San Vicente y las Granadinas;19944,19121;22427,19247;24638,35724;-0,403010939;-0,278684637;-0,368734814;18,969;20,55;18,975;-1,73361195;-0,628131309;5,660097792
Santa Lucía;27783,94629;22836,80267;31000,04114;0,467430587;0,36554733;0,114601078;20,556;20,39;17,362;-0,983600953;-1,755808335;6,378146951
Santo Tomé y Príncipe;34956,09922;46832,13395;56416,57138;1,819823892;1,865994498;1,897114969;13,78;15,443;15,318;5,24587835;9,819327915;18,00563511
Senegal;731994,8112;859048,2425;997227,0833;2,72463609;2,684381849;2,572170153;6,76;3,509;3,434;0,135211934;2,543146857;9,696818991
Serbia;608144,8176;797844,6255;1048913,113;-0,494772574;-0,666107601;-1,092209542;17,66;9,01;9,473;1,39235822;1,575532901;11,98151173
Seychelles;198304,0666;211750,9415;226574,0486;2,229795053;0,853707878;0,804748521;;;;4,041944107;8,276858114;
Sierra Leona;2950,645358;4850,402904;6481,039699;2,408687161;2,29903034;2,174091242;4,437;3,572;3,635;6,689435625;13,44687111;27,20828838
Singapur;76502,97145;84542,2998;114164,1455;1,186376937;-0,311904961;3,308620524;3,79;4,1;2,758;-0,522618167;-0,181916667;6,12106004
Somalia;8625926,179;10722186,09;12390609,59;3,359150333;3,418197348;3,069384352;18,877;19,567;20,047;;;
Sri Lanka;542117,0563;714974,9076;1088667,148;0,456782306;0,53062656;0,11277264;4,52;5,2;6,705;3,768367831;6,153945084;49,72110211
Sudáfrica;79117,19969;94502,27843;110835,1153;2,074016859;1,223179295;0,841058244;22,87;24,34;29,806;4,540642277;3,210035975;7,039726613
Sudán;13415,74805;91493,21094;613454,75;3,107511671;2,756778785;2,630614261;17,444;19,292;18,73;16,90957061;163,2577824;138,8084602
Sudán del Sur;3862,90142;;;-0,169451605;1,506267728;1,52247695;12,29;13,745;12,975;52,76633042;29,67584355;-6,687320942
Suecia;434777,9499;486653,424;565115,795;1,057454686;0,722703913;0,680582868;7,43;8,29;7,358;-0,046784745;0,497367319;8,369290989
Suiza;80653,76034;80417,72473;87941,47661;1,138337152;0,730676195;0,759294505;4,8;4,82;4,202;-1,143908672;-0,725874933;2,835027986
Suriname;30435,1136;63781,42209;144753,414;1,011747632;1,120467326;0,821271447;7,22;9,524;8,639;6,893903592;34,88978431;52,44602728
Tailandia;195513,1644;219111,5846;242231,9307;0,475496517;0,235182865;0,133884528;0,6;1,1;0,862;-0,900424963;-0,845937147;6,077412284
Tanzanía;1850215,625;2533114,75;2746225,25;3,344574305;3,013853284;2,958573452;2,144;2,78;2,762;5,58816953;3,290290628;4,350272043
Tayikistán;5980,457911;8797,702911;11628,84326;2,346816042;2,184426969;2,057876336;7,552;7,485;7,828;5,714559496;;
Timor-Leste;1322,300887;1660,308309;2358,409054;1,755472386;1,515821141;1,52911923;4,451;4,804;4,864;0,646148614;;
