Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
Burundi;BDI;Africa;12889576;12220227;10727148;9126605;6307659;5483793;4312834;3497834;27834;463,0874;1,027;0,16;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;187.795.490.872.568;-311.611.097.804.429;142.189.606.962.945;-286.056.587.976.486;0.318221817835934;-59.804.956.121.318;-250.846.116.980.161;
Bélgica;BEL;Europa;11655930;11561717;11248303;10877947;10264343;9959560;9828986;9629376;30528;381,8111;1,0038;0,15;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;547.879.045.116.598;432.900.827.500.772;283.026.797.508.926;346.545.257.130.404;1.928.764.195.703;145.189.336.758.756;-576.839.830.908.564;
Benin;BEN;Africa;13352864;12643123;10932783;9445710;6998023;5133419;3833939;3023443;112622;118,5635;1,0274;0,17;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-0.00525611905031553;395.356.179.891.975;571.244.559.420.417;268.964.737.900.177;-0.839355823905237;-118.168.483.600.668;0.951676065344273;
Burkina Faso;BFA;Africa;22673762;21522626;18718019;16116845;11882888;9131361;6932967;5611666;272967;83,0641;1,0259;0,28;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-159.425.907.269.835;-186.412.486.590.542;-317.322.794.415.276;-110.685.082.808.791;530.514.455.524.253;0.877785604827011;-0.773847473861267;
Bangladesh;BGD;Asia;171186372;167420951;157830000;148391139;129193327;107147651;83929765;67541860;147570;1.160,04;1,0108;2,15;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;300.061.464.021.741;-160.928.609.905.919;340.036.959.603.947;330.590.093.463.195;437.348.466.696.672;529.106.080.830.215;227.110.515.324.938;
Bulgaria;BGR;Europa;6781953;6979175;7309253;7592273;8097691;8767778;8980606;8582950;110879;61,1654;0,9849;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-74.632.076.536.532;510.505.505.789.476;221.243.106.343.319;409.010.768.554.509;-338.040.072.418.435;
Bahrein;BHR;Asia;1472233;1477469;1362142;1213645;711442;517418;362595;222555;765;1.924,49;1,0061;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;0.992712756857642;244.215.746.058.789;139.489.073.188.075;-135.238.152.136.513;-386.011.163.684.792;
Bahamas;BHS;Norteamérica;409984;406471;392697;373272;325014;270679;223752;179129;13943;29,4043;1,0051;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-901.221.302.099.061;44.363.122.153.204;-348.158.874.118.411;262.968.206.387.406;0.119788587477856;0.0796698475642899;-241.813.134.485.299;
Bosnia y Herzegovina;BIH;Europa;3233526;3318407;3524324;3811088;4179350;4494310;4199820;3815561;51209;63,1437;0,9886;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;12.054.882.547.569;262.997.048.976.155;445.646.033.067.895;-188.422.756.676.914;
Belarús;BLR;Europa;9534954;9633740;9700609;9731427;10256483;10428525;9817257;9170786;207600;45,9295;0,9955;0,12;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;629.963.644.799.005;803.408.813.400.748;-395.725.125.382.174;-0.278203386915138;
Belice;BLZ;Norteamérica;405272;394921;359871;322106;240406;182589;145133;120905;22966;17,6466;1,0131;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;24.151.601.047.899;108.495.691.387.326;906.668.172.195.484;939.899.285.981.485;-123.807.601.673.238;120.302.852.831.588;-146.804.661.413.714;
Bermudas;BMU;Norteamérica;64184;64031;63144;63447;61371;57470;53565;52019;54;1.188,59;1;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;437.934.158.997.402;622.614.189.721.537;-0.798461538372536;834.832.420.616.188;-173.636.323.640.892;0.622598426821042;-681.170.948.672.607;
